0c // m
3d // _
11 // r
0d // n
0d // n
0d // n
28 // I
1e // .
26 // G
16 // w
3f // &
3a // :
3c // ;
13 // t
09 // j
29 // J
0f // p
09 // j
32 // S
18 // y
25 // F
12 // s
24 // E
1f // \n
1d // -
07 // h
12 // s
30 // Q
3b // #
13 // t
33 // T
1e // .
13 // t
31 // R
0f // p
22 // C
1a // (space)
04 // e
22 // C
38 // Y
30 // Q
1c // ,
3c // ;
1a // (space)
0f // p
39 // Z
2e // O
35 // V
09 // j
0c // m
1b // !
34 // U
1d // -
33 // T
2b // L
21 // B
29 // J
29 // J
09 // j
04 // e
03 // d
24 // E
0b // l
09 // j
14 // u
1d // -
09 // j
2b // L
3b // #
1d // -
0a // k
13 // t
14 // u
1c // ,
35 // V
2e // O
13 // t
04 // e
0d // n
05 // f
11 // r
2c // M
36 // W
2e // O
04 // e
39 // Z
2c // M
2b // L
17 // x
33 // T
03 // d
07 // h
05 // f
3c // ;
03 // d
3d // _
29 // J
30 // Q
17 // x
15 // v
23 // D
26 // G
36 // W
2e // O
10 // q
3a // :
10 // q
20 // A
35 // V
17 // x
3e // +
