1a // (space)
11 // r
27 // H
1d // -
25 // F
0a // k
3f // &
3e // +
28 // I
2f // P
04 // e
0e // o
25 // F
01 // b
39 // Z
06 // g
2b // L
31 // R
0f // p
1e // .
30 // Q
0b // l
24 // E
0c // m
20 // A
33 // T
39 // Z
15 // v
30 // Q
19 // z
2a // K
08 // i
03 // d
3d // _
1e // .
07 // h
10 // q
13 // t
32 // S
1f // \n
3e // +
2e // O
05 // f
25 // F
21 // B
0a // k
0f // p
26 // G
19 // z
04 // e
0a // k
24 // E
3d // _
0d // n
3c // ;
01 // b
02 // c
0d // n
03 // d
3f // &
39 // Z
28 // I
30 // Q
3a // :
37 // X
34 // U
1c // ,
22 // C
20 // A
03 // d
23 // D
31 // R
0f // p
2a // K
1f // \n
16 // w
39 // Z
3f // &
1e // .
36 // W
1b // !
3c // ;
22 // C
0c // m
2f // P
10 // q
20 // A
32 // S
14 // u
30 // Q
24 // E
3a // :
0a // k
3e // +
03 // d
23 // D
25 // F
23 // D
10 // q
1a // (space)
18 // y
1f // \n
0a // k
32 // S
09 // j
0a // k
2d // N
3f // &
29 // J
09 // j
30 // Q
